BAR BURGUER GOYO,bar_goyo_burguer@yahoo.es
BAR CASA ADOLFO,ruzfernando@hotmail.com
BAR CHE TABERNA VASCA-SIDRERIA,caibcu@hotmail.es
BAR COFRADIA PESCADORES,pilinay06@hotmail.com
BAR COLLAET RELLEU,laera.relleu@gmail.com
BAR EL CORRAL DE LA ABUELA,maxplaza81@hotmail.com
BAR EL ESCALON,barbacil@telefonica.net
BAR EL TEMPLETE,ramonaguillo@telefonica.net
BAR FERREROS,anelgaf@hotmail.com
BAR FLORIDA,ricardomartinmartin@yahoo.es
BAR LA BLANCA,jaog2003@hotmail.com
BAR LA CHOPERA,rafa.chopera@telefonica.net
BAR LA ESQUINA,barlaesquina@live.com
BAR LA MARTA,miruma@telefonica.net
BAR LA PLAZA,barlaplaza@gmail.com
BAR LAS CAVAS DEL CHAMPAN,pacoarevalillo@hotmail.com
BAR LOPEZ 2,mixmoral@hotmail.com
BAR MATITO,zapatamoya@hotmail.com
BAR MUSICARTE,raulcarabias@hotmail.com
BAR NAVARRO,bernivalero@hotmail.com
BAR ODDEON,xdye69@yahoo.es
BAR RESTAURANT BEFORE,beforebcn@hotmail.com
BAR RESTAURANT CAFETERIA CAFE PARIS,delfinvela@hotmail.com
BAR RESTAURANT CAL PEP,calpep@calpep.com
BAR RESTAURANT CASA FERNANDEZ,casafernandez@casafernandez.com
BAR RESTAURANT CATAMARAN,catamaranbcn@catamaranbcn.com
BAR RESTAURANT EL ULTIMO AGAVE,elultimoagave@elultimoagave.com
BAR RESTAURANT HABANA BARCELONA,habanabarcelona@habanabarcelona.com
BAR RESTAURANT HIMALI,santatamu@hotmail.com
BAR RESTAURANT ILLA MITJANA,illamitjana@illamitjana.com
BAR RESTAURANT NOISE I ART,noiseiart@hotmail.com
BAR RESTAURANTE CALVO- C.B.,reigm.santiago@gmail.com
BAR RESTAURANTE CASINO SANFELIUENSE,kikocasino@hotmail.com
BAR RESTAURANTE DISTINTO,barrestaurantedistinto@yahoo.es
BAR RESTAURANTE EL MERCAT,restauranteelmercat@gmail.com
BAR RESTAURANTE EL PELA- S.L.,elpela@elpela.com
BAR RESTAURANTE LA CEPA,joaquinpollos@barlacepa.com
BAR RESTAURANTE MANOLO MAYO,restaurante@manolomayo.com
BAR RESTAURANTE NIKE'S BAR SVENSK SUECO,nickesbar@hotmail.com
BAR RESTAURANTE SPORT,masllorensport@gmail.com
BAR ROSALEDA EN ROCAFORT-VALENCIA,apuestas@barrosaleda.com
BAR SOL Y SOMBRA,info@tabernasolysombra.com
BAR TERRAZA PLAZA DE LA CATEDRAL,pelayoyana@hotmail.com
BARAKA CLUB DE VIAJES- S.L.,info@baraka.es
BARAKA CLUB DE VIATGES,baraka@baraka.es
BARBACAN- S.A.,sol.barbacan@solmelia.com
BARBACANA,barbacana@barba.es
BARBACOA LA PESQUERA,lapesquera@lapesquera.com
BARCELO CABO DE GATA,cabodegata@barcelo.com
BARCELO CONDAL HOTELES- S.A.,sants@barcelo.com
BARCELO CORPORACION EMPRESARIAL- S.A.,comunicacion@barcelo.com
BARCELO GRAN HOTEL RENACIMIENTO,renacimiento@barcelo.com
